Frequency(Hz),Impedance
2.62E+06,1.429833375
2.62E+06,1.424392727
2.62E+06,1.418874206
2.62E+06,1.413309063
2.63E+06,1.407660258
2.63E+06,1.401960855
2.63E+06,1.396187767
2.63E+06,1.390340269
2.64E+06,1.384404015
2.64E+06,1.378416677
2.64E+06,1.372305417
2.64E+06,1.366169587
2.65E+06,1.359919094
2.65E+06,1.353590111
2.65E+06,1.347173791
2.65E+06,1.340681766
2.66E+06,1.334085433
2.66E+06,1.327395874
2.66E+06,1.32059015
2.66E+06,1.313685328
2.67E+06,1.306694867
2.67E+06,1.299586256
2.67E+06,1.292362628
2.67E+06,1.285052537
2.68E+06,1.277598509
2.68E+06,1.269988826
2.68E+06,1.262302276
