,principal_component1,principal_component2
1653675575,-0.8471666565958116,-0.05810105285660184
1653675575,-0.8471666565958116,-0.05810105285660184
1653675575,-0.8471666565958116,-0.05810105285660184
1653675575,-0.8463622108760523,-0.05607314867533122
1653675576,-0.8471666565958116,-0.05810105285660184
1653675576,-0.8471666565958116,-0.05810105285660184
1653675576,-0.8471666565958116,-0.05810105285660184
1653675576,-0.8471666565958116,-0.05810105285660184
1653675577,-0.8471666565958116,-0.05810105285660184
1653675577,-0.8471666565958116,-0.05810105285660184
1653675577,-0.8471666565958116,-0.05810105285660184
1653675577,-0.8471666565958116,-0.05810105285660184
1653675578,-0.8471666565958116,-0.05810105285660184
1653675578,-0.8471666565958116,-0.05810105285660184
1653675578,-0.8463622108760523,-0.05607314867533122
1653675578,-0.8463622108760523,-0.05607314867533122
1653675578,-0.8463622108760523,-0.05607314867533122
1653675579,-0.8471666565958116,-0.05810105285660184
1653675579,-0.8471666565958116,-0.05810105285660184
1653675579,-0.8471666565958116,-0.05810105285660184
1653675579,-0.8471666565958116,-0.05810105285660184
1653675580,-0.8471666565958116,-0.05810105285660184
1653675580,-0.8471666565958116,-0.05810105285660184
1653675580,-0.8471666565958116,-0.05810105285660184
1653675580,-0.8471666565958116,-0.05810105285660184
1653675581,-0.8471666565958116,-0.05810105285660184
1653675581,-0.8471666565958116,-0.05810105285660184
1653675581,-0.8471666565958116,-0.05810105285660184
1653675581,-0.8471666565958116,-0.05810105285660184
1653675582,-0.8471666565958116,-0.05810105285660184
1653675582,-0.8471666565958116,-0.05810105285660184
1653675582,-0.8471666565958116,-0.05810105285660184
1653675582,-0.8471666565958116,-0.05810105285660184
1653675583,-0.8471666565958116,-0.05810105285660184
1653675583,-0.8471666565958116,-0.05810105285660184
1653675583,-0.8471666565958116,-0.05810105285660184
1653675583,-0.8471666565958116,-0.05810105285660184
1653675584,-0.8471666565958116,-0.05810105285660184
1653675584,-0.8471666565958116,-0.05810105285660184
1653675584,-0.8471666565958116,-0.05810105285660184
1653675584,-0.8463622108760523,-0.05607314867533122
1653675585,-0.8463622108760523,-0.05607314867533122
1653675585,-0.8471666565958116,-0.05810105285660184
1653675585,-0.8471666565958116,-0.05810105285660184
1653675585,-0.8471666565958116,-0.05810105285660184
1653675586,-0.8471666565958116,-0.05810105285660184
1653675586,-0.8471666565958116,-0.05810105285660184
1653675586,-0.8471666565958116,-0.05810105285660184
1653675586,-0.8471666565958116,-0.05810105285660184
1653675587,-0.8471666565958116,-0.05810105285660184
1653675587,-0.8471666565958116,-0.05810105285660184
1653675587,-0.8471666565958116,-0.05810105285660184
1653675587,-0.8471666565958116,-0.05810105285660184
1653675588,-0.8471666565958116,-0.05810105285660184
1653675588,-0.8471666565958116,-0.05810105285660184
1653675588,-0.8471666565958116,-0.05810105285660184
1653675588,-0.8471666565958116,-0.05810105285660184
1653675589,-0.8471666565958116,-0.05810105285660184
1653675589,-0.8471666565958116,-0.05810105285660184
1653675589,-0.8471666565958116,-0.05810105285660184
1653675589,-0.8471666565958116,-0.05810105285660184
1653675590,-0.8471666565958116,-0.05810105285660184
1653675590,-0.8471666565958116,-0.05810105285660184
1653675590,-0.8471666565958116,-0.05810105285660184
1653675590,-0.8471666565958116,-0.05810105285660184
1653675590,-0.8471666565958116,-0.05810105285660184
1653675591,-0.8471666565958116,-0.05810105285660184
1653675591,-0.8471666565958116,-0.05810105285660184
1653675591,-0.8471666565958116,-0.05810105285660184
1653675591,-0.8471666565958116,-0.05810105285660184
1653675592,-0.8471666565958116,-0.05810105285660184
1653675592,-0.8471666565958116,-0.05810105285660184
1653675592,-0.8471666565958116,-0.05810105285660184
1653675592,-0.8471666565958116,-0.05810105285660184
1653675593,-0.8471666565958116,-0.05810105285660184
1653675593,-0.8471666565958116,-0.05810105285660184
1653675593,-0.8471666565958116,-0.05810105285660184
1653675593,-0.8200618396942227,0.018378916741135346
1653675594,-0.6451853479271643,0.47552448312720186
